"lname","fname","party","state","seat","district","ico.status","cand.gender","recipient.cfscore.dyn","contributor.cfscore","num.givers.total","total.receipts","prim.vote.pct","pwinner","gen.vote.pct","gwinner"
"kuster","ann","100","NH","federal:house","NH02","I","F",-0.996,-0.869,33396,"3045110.35 USD",0.9259,"W",53.9,"W"
"ashford","ann","100","NE","federal:house","NE02","C","F",-0.511,-0.43,772,"511333.55 USD",0.3119,"L",NA,NA
"sobie","curtis","100","NC","federal:house","NC04","C","M",-1.234,-1.207,35,"4173.19 USD",NA,NA,NA,NA
"thomas","allen","100","NC","federal:house","NC03","C","M",-0.583,-0.797,343,"623737.88 USD",NA,NA,NA,NA
"perry","joan","200","NC","federal:house","NC03","C","F",1.08,1.159,342,"504760.05 USD",NA,NA,NA,NA
"cairns","celeste","200","NC","federal:house","NC03","C","F",1.309,1.408,178,"133966.25 USD",NA,NA,NA,NA
"murphy","gregory","200","NC","federal:house","NC03","C","M",1.229,1.31,3760,"1874948.63 USD",1,"W",63.38,"W"
"speciale","michael","200","NC","federal:house","NC03","C","M",1.62,1.525,333,"16702.45 USD",NA,NA,NA,NA
"nix","michele","200","NC","federal:house","NC01","C","F",1.438,NA,63,"59694.5 USD",0.0989,"L",NA,NA
"carter","deandre","100","NC","federal:house","NC01","C","M",-1.181,-1.172,19,"0 USD",NA,NA,NA,NA
"palazzo","steven","200","MS","federal:house","MS04","I","M",1.14,1.274,2661,"827661.5 USD",0.6682,"W",100,"W"
"abundis","vic","100","MO","state:lower","MO06","O","M",-0.903,-0.91,155,"21748.67 USD",NA,NA,NA,NA
"sandbeck","david","100","MN","federal:house","MN04","C","M",-1.369,-1.354,27,"16181 USD",0.036,"L",NA,NA
"noland","kelly","100","MI","federal:house","MI10","C","F",-1.05,-0.997,22,"0 USD",0.4627,"L",NA,NA
"rafi","emily","100","MI","federal:house","MI03","C","F",-0.677,-0.66,15,"26586 USD",0.0368,"L",NA,NA
"parrott","neil","200","MD","federal:house","MD06","C","M",1.291,1.348,6033,"316822.29 USD",0.652,"W",39.19,"L"
"dar","mohammad","100","MA","federal:house","MA08","C","M",-0.942,-0.977,553,"192106.13 USD",NA,NA,NA,NA
"bucshon","larry","200","IN","federal:house","IN08","I","M",1.124,1.179,2950,"1056939.69 USD",1,"W",66.95,"W"
"malouf","daniel","200","IL","federal:house","IL14","C","M",1.157,1.245,9,"25071.98 USD",NA,NA,NA,NA
"emmons","robert","100","IL","federal:house","IL01","C","M",-1.043,-0.978,795,"0 USD",0.1027,"L",NA,NA
"taylor","jeremy","200","IA","federal:house","IA04","C","M",1.413,1.389,818,"170532.92 USD",0.0783,"L",NA,NA
"kahele","kaiali","100","HI","federal:house","HI02","C","M",-0.711,-0.851,6787,"1253138.86 USD",0.7647,"W",63.03,"W"
"stephens","key","100","GA","federal:house","GA09","C","U",-1.08,NA,931,"0 USD",NA,NA,NA,NA
"scott","james","200","GA","federal:house","GA08","I","M",1.214,1.298,3595,"836255.71 USD",0.8981,"W",64.51,"W"
"eaves","john","100","GA","federal:house","GA07","C","M",-0.698,-0.748,642,"171494.53 USD",0.0773,"L",NA,NA
"cole","marqus","100","GA","federal:house","GA07","O","M",-1,NA,202,"60717.88 USD",NA,NA,NA,NA
"hice","jody","200","GA","federal:house","GA10","I","M",1.478,1.57,1365,"600996.55 USD",1,"W",62.31,"W"
"jones","lateresa","200","FL","federal:house","FL20","C","F",1.115,NA,18,"5096.95 USD",NA,NA,NA,NA
